[2/64] Running on node112
DESC: dir=/var/scratch/dbuurman/kmeans/size_27/clusters_4/dimension_4/seed_971 numMeans=4 convergenceDelta=0.0001 thresholdMultiplier=0
[1/64] Running on node112
[3/64] Running on node112
[4/64] Running on node112
[5/64] Running on node112
[7/64] Running on node112
[6/64] Running on node112
[8/64] Running on node112
[18/64] Running on node114
[13/64] Running on node113
[36/64] Running on node116
[9/64] Running on node113
[34/64] Running on node116
[17/64] Running on node114
[49/64] Running on node118
[19/64] Running on node114
[55/64] Running on node118
[11/64] Running on node113
[39/64] Running on node116
[15/64] Running on node113
[33/64] Running on node116
[21/64] Running on node114
[51/64] Running on node118
[25/64] Running on node115
[23/64] Running on node114
[52/64] Running on node118
[26/64] Running on node115
[10/64] Running on node113
[35/64] Running on node116
[12/64] Running on node113
[40/64] Running on node116
[22/64] Running on node114
[50/64] Running on node118
[27/64] Running on node115
[41/64] Running on node117
[20/64] Running on node114
[54/64] Running on node118
[57/64] Running on node119
[28/64] Running on node115
[43/64] Running on node117
[16/64] Running on node113
[38/64] Running on node116
[56/64] Running on node118
[58/64] Running on node119
[29/64] Running on node115
[14/64] Running on node113
[37/64] Running on node116
[24/64] Running on node114
[53/64] Running on node118
[59/64] Running on node119
[30/64] Running on node115
[42/64] Running on node117
[60/64] Running on node119
[31/64] Running on node115
[44/64] Running on node117
[61/64] Running on node119
[32/64] Running on node115
[46/64] Running on node117
[62/64] Running on node119
[48/64] Running on node117
[45/64] Running on node117
[47/64] Running on node117
[63/64] Running on node119
[64/64] Running on node119

Reading file: /var/scratch/dbuurman/kmeans/size_27/clusters_4/dimension_4/seed_971/data.txt
EXP: readTime 91.3185 seconds
Detected 134217728 data points of dimension 4.


EXP 1: using seed 4e3cee8d
Stopping iterations due to convergence delta.
EXP 1: [1/64] calculationTime 2.97484 seconds
EXP 1: iterations 38
EXP 1: [3/64] calculationTime 2.97483 seconds
EXP 1: [4/64] calculationTime 2.97483 seconds
EXP 1: [7/64] calculationTime 2.97483 seconds
EXP 1: [5/64] calculationTime 2.97483 seconds
EXP 1: [6/64] calculationTime 2.97483 seconds
EXP 1: [2/64] calculationTime 2.97484 seconds
EXP 1: [8/64] calculationTime 2.97483 seconds
EXP 1: [60/64] calculationTime 2.97482 seconds
EXP 1: [37/64] calculationTime 2.97481 seconds
EXP 1: [20/64] calculationTime 2.97483 seconds
EXP 1: [53/64] calculationTime 2.97482 seconds
EXP 1: [61/64] calculationTime 2.97481 seconds
EXP 1: [32/64] calculationTime 2.97482 seconds
EXP 1: [48/64] calculationTime 2.97482 seconds
EXP 1: [9/64] calculationTime 2.97483 seconds
EXP 1: [39/64] calculationTime 2.97481 seconds
EXP 1: [52/64] calculationTime 2.97482 seconds
EXP 1: [62/64] calculationTime 2.97482 seconds
EXP 1: [25/64] calculationTime 2.97483 seconds
EXP 1: [44/64] calculationTime 2.97482 seconds
EXP 1: [10/64] calculationTime 2.97483 seconds
EXP 1: [36/64] calculationTime 2.97482 seconds
EXP 1: [24/64] calculationTime 2.97482 seconds
EXP 1: [18/64] calculationTime 2.97483 seconds
EXP 1: [55/64] calculationTime 2.97482 seconds
EXP 1: [63/64] calculationTime 2.97481 seconds
EXP 1: [26/64] calculationTime 2.97483 seconds
EXP 1: [45/64] calculationTime 2.97481 seconds
EXP 1: [16/64] calculationTime 2.97482 seconds
EXP 1: [33/64] calculationTime 2.97483 seconds
EXP 1: [17/64] calculationTime 2.97483 seconds
EXP 1: [51/64] calculationTime 2.97482 seconds
EXP 1: [64/64] calculationTime 2.97482 seconds
EXP 1: [27/64] calculationTime 2.97482 seconds
EXP 1: [46/64] calculationTime 2.97482 seconds
EXP 1: [11/64] calculationTime 2.97482 seconds
EXP 1: [38/64] calculationTime 2.97482 seconds
EXP 1: [22/64] calculationTime 2.97483 seconds
EXP 1: [56/64] calculationTime 2.97482 seconds
EXP 1: [57/64] calculationTime 2.97482 seconds
EXP 1: [28/64] calculationTime 2.97482 seconds
EXP 1: [47/64] calculationTime 2.97481 seconds
EXP 1: [12/64] calculationTime 2.97482 seconds
EXP 1: [40/64] calculationTime 2.97482 seconds
EXP 1: writeTime 0.001243 seconds
EXP 2: using seed fb5c4980
EXP 1: [19/64] calculationTime 2.97483 seconds
EXP 1: [50/64] calculationTime 2.97483 seconds
EXP 1: [58/64] calculationTime 2.97483 seconds
EXP 1: [29/64] calculationTime 2.97481 seconds
EXP 1: [43/64] calculationTime 2.97482 seconds
EXP 1: [14/64] calculationTime 2.97483 seconds
EXP 1: [34/64] calculationTime 2.97483 seconds
EXP 1: [23/64] calculationTime 2.97482 seconds
EXP 1: [49/64] calculationTime 2.97483 seconds
EXP 1: [59/64] calculationTime 2.97482 seconds
EXP 1: [30/64] calculationTime 2.97482 seconds
EXP 1: [41/64] calculationTime 2.97482 seconds
EXP 1: [13/64] calculationTime 2.97482 seconds
EXP 1: [35/64] calculationTime 2.97482 seconds
EXP 1: [31/64] calculationTime 2.97481 seconds
EXP 1: [42/64] calculationTime 2.97483 seconds
EXP 1: [15/64] calculationTime 2.97482 seconds
EXP 1: [21/64] calculationTime 2.97482 seconds
EXP 1: [54/64] calculationTime 2.97483 seconds
EXP 2: [7/64] calculationTime 0.92377 seconds
EXP 2: [5/64] calculationTime 0.92377 seconds
Stopping iterations due to convergence delta.
EXP 2: [1/64] calculationTime 0.923794 seconds
EXP 2: iterations 9
EXP 2: [6/64] calculationTime 0.923775 seconds
EXP 2: [2/64] calculationTime 0.923775 seconds
EXP 2: [8/64] calculationTime 0.923775 seconds
EXP 2: [3/64] calculationTime 0.92377 seconds
EXP 2: [4/64] calculationTime 0.923774 seconds
EXP 2: [60/64] calculationTime 0.923776 seconds
EXP 2: [35/64] calculationTime 0.92377 seconds
EXP 2: [24/64] calculationTime 0.923775 seconds
EXP 2: [53/64] calculationTime 0.923771 seconds
EXP 2: [61/64] calculationTime 0.923772 seconds
EXP 2: [30/64] calculationTime 0.923777 seconds
EXP 2: [43/64] calculationTime 0.92377 seconds
EXP 2: [15/64] calculationTime 0.92377 seconds
EXP 2: [37/64] calculationTime 0.92377 seconds
EXP 2: [18/64] calculationTime 0.923775 seconds
EXP 2: [52/64] calculationTime 0.923776 seconds
EXP 2: [62/64] calculationTime 0.923778 seconds
EXP 2: [31/64] calculationTime 0.923771 seconds
EXP 2: [41/64] calculationTime 0.923771 seconds
EXP 2: [14/64] calculationTime 0.923776 seconds
EXP 2: [39/64] calculationTime 0.923769 seconds
EXP 2: [59/64] calculationTime 0.923771 seconds
EXP 2: [32/64] calculationTime 0.923777 seconds
EXP 2: [46/64] calculationTime 0.923776 seconds
EXP 2: [13/64] calculationTime 0.923771 seconds
EXP 2: [36/64] calculationTime 0.923774 seconds
EXP 2: [17/64] calculationTime 0.923771 seconds
EXP 2: [55/64] calculationTime 0.92377 seconds
EXP 2: writeTime 0.000862001 seconds
EXP 3: using seed 1b6a739e
EXP 2: [22/64] calculationTime 0.923775 seconds
EXP 2: [51/64] calculationTime 0.923771 seconds
EXP 2: [64/64] calculationTime 0.923776 seconds
EXP 2: [25/64] calculationTime 0.923771 seconds
EXP 2: [48/64] calculationTime 0.923775 seconds
EXP 2: [12/64] calculationTime 0.923775 seconds
EXP 2: [33/64] calculationTime 0.923771 seconds
EXP 2: [19/64] calculationTime 0.92377 seconds
EXP 2: [56/64] calculationTime 0.923776 seconds
EXP 2: [57/64] calculationTime 0.923771 seconds
EXP 2: [26/64] calculationTime 0.923776 seconds
EXP 2: [44/64] calculationTime 0.923776 seconds
EXP 2: [9/64] calculationTime 0.923771 seconds
EXP 2: [38/64] calculationTime 0.923774 seconds
EXP 2: [23/64] calculationTime 0.92377 seconds
EXP 2: [50/64] calculationTime 0.923776 seconds
EXP 2: [58/64] calculationTime 0.923776 seconds
EXP 2: [27/64] calculationTime 0.923771 seconds
EXP 2: [45/64] calculationTime 0.923772 seconds
EXP 2: [10/64] calculationTime 0.923775 seconds
EXP 2: [40/64] calculationTime 0.923774 seconds
EXP 2: [20/64] calculationTime 0.923775 seconds
EXP 2: [49/64] calculationTime 0.923771 seconds
EXP 2: [63/64] calculationTime 0.923772 seconds
EXP 2: [28/64] calculationTime 0.923776 seconds
EXP 2: [42/64] calculationTime 0.923776 seconds
EXP 2: [16/64] calculationTime 0.923775 seconds
EXP 2: [34/64] calculationTime 0.923775 seconds
EXP 2: [21/64] calculationTime 0.923771 seconds
EXP 2: [54/64] calculationTime 0.923775 seconds
EXP 2: [29/64] calculationTime 0.923772 seconds
EXP 2: [47/64] calculationTime 0.923771 seconds
EXP 2: [11/64] calculationTime 0.92377 seconds
EXP 3: [3/64] calculationTime 3.49191 seconds
EXP 3: [5/64] calculationTime 3.49191 seconds
EXP 3: [7/64] calculationTime 3.49191 seconds
EXP 3: [4/64] calculationTime 3.49191 seconds
Stopping iterations due to convergence delta.
EXP 3: [1/64] calculationTime 3.49194 seconds
EXP 3: iterations 46
EXP 3: [6/64] calculationTime 3.49191 seconds
EXP 3: [2/64] calculationTime 3.49191 seconds
EXP 3: [8/64] calculationTime 3.49191 seconds
EXP 3: [59/64] calculationTime 3.49191 seconds
EXP 3: [39/64] calculationTime 3.49191 seconds
EXP 3: [49/64] calculationTime 3.49191 seconds
EXP 3: [36/64] calculationTime 3.49191 seconds
EXP 3: [17/64] calculationTime 3.49191 seconds
EXP 3: [53/64] calculationTime 3.49191 seconds
EXP 3: [64/64] calculationTime 3.49192 seconds
EXP 3: [31/64] calculationTime 3.49191 seconds
EXP 3: [46/64] calculationTime 3.49191 seconds
EXP 3: [11/64] calculationTime 3.49191 seconds
EXP 3: [22/64] calculationTime 3.49191 seconds
EXP 3: [52/64] calculationTime 3.49192 seconds
EXP 3: [57/64] calculationTime 3.49191 seconds
EXP 3: [32/64] calculationTime 3.49192 seconds
EXP 3: [48/64] calculationTime 3.49191 seconds
EXP 3: [15/64] calculationTime 3.49191 seconds
EXP 3: [33/64] calculationTime 3.49191 seconds
EXP 3: writeTime 0.000831001 seconds
EXP 3: [19/64] calculationTime 3.49191 seconds
EXP 3: [55/64] calculationTime 3.49191 seconds
EXP 3: [58/64] calculationTime 3.49192 seconds
EXP 3: [25/64] calculationTime 3.49191 seconds
EXP 3: [44/64] calculationTime 3.49191 seconds
EXP 3: [14/64] calculationTime 3.49191 seconds
EXP 3: [38/64] calculationTime 3.49191 seconds
EXP 4: using seed 3edde995
EXP 3: [23/64] calculationTime 3.49191 seconds
EXP 3: [51/64] calculationTime 3.49191 seconds
