[3/64] Running on node112
[5/64] Running on node112
DESC: dir=/var/scratch/dbuurman/kmeans/size_25/clusters_4/dimension_4/seed_971 numMeans=4 convergenceDelta=0.0001 thresholdMultiplier=0
[1/64] Running on node112
[2/64] Running on node112
[7/64] Running on node112
[8/64] Running on node112
[4/64] Running on node112
[37/64] Running on node116
[6/64] Running on node112
[19/64] Running on node114
[39/64] Running on node116
[36/64] Running on node116
[9/64] Running on node113
[14/64] Running on node113
[17/64] Running on node114
[38/64] Running on node116
[18/64] Running on node114
[40/64] Running on node116
[10/64] Running on node113
[11/64] Running on node113
[21/64] Running on node114
[35/64] Running on node116
[22/64] Running on node114
[34/64] Running on node116
[49/64] Running on node118
[13/64] Running on node113
[16/64] Running on node113
[20/64] Running on node114
[33/64] Running on node116
[51/64] Running on node118
[23/64] Running on node114
[50/64] Running on node118
[27/64] Running on node115
[15/64] Running on node113
[56/64] Running on node118
[26/64] Running on node115
[12/64] Running on node113
[24/64] Running on node114
[46/64] Running on node117
[53/64] Running on node118
[31/64] Running on node115
[45/64] Running on node117
[55/64] Running on node118
[25/64] Running on node115
[47/64] Running on node117
[52/64] Running on node118
[28/64] Running on node115
[54/64] Running on node118
[29/64] Running on node115
[41/64] Running on node117
[30/64] Running on node115
[59/64] Running on node119
[42/64] Running on node117
[32/64] Running on node115
[61/64] Running on node119
[43/64] Running on node117
[57/64] Running on node119
[44/64] Running on node117
[63/64] Running on node119
[48/64] Running on node117
[58/64] Running on node119
[62/64] Running on node119
[64/64] Running on node119
[60/64] Running on node119

Reading file: /var/scratch/dbuurman/kmeans/size_25/clusters_4/dimension_4/seed_971/data.txt
EXP: readTime 23.0722 seconds
Detected 33554432 data points of dimension 4.


EXP 1: using seed 56059cd1
Stopping iterations due to convergence delta.
EXP 1: [1/64] calculationTime 0.246198 seconds
EXP 1: iterations 8
EXP 1: [6/64] calculationTime 0.246164 seconds
EXP 1: [8/64] calculationTime 0.246174 seconds
EXP 1: [3/64] calculationTime 0.246168 seconds
EXP 1: [4/64] calculationTime 0.246158 seconds
EXP 1: [2/64] calculationTime 0.246161 seconds
EXP 1: [7/64] calculationTime 0.246165 seconds
EXP 1: [5/64] calculationTime 0.246166 seconds
EXP 1: [22/64] calculationTime 0.246172 seconds
EXP 1: [18/64] calculationTime 0.246167 seconds
EXP 1: [36/64] calculationTime 0.246167 seconds
EXP 1: [56/64] calculationTime 0.246192 seconds
EXP 1: [30/64] calculationTime 0.246184 seconds
EXP 1: [14/64] calculationTime 0.246172 seconds
EXP 1: [21/64] calculationTime 0.246174 seconds
EXP 1: [59/64] calculationTime 0.246198 seconds
EXP 1: [37/64] calculationTime 0.246174 seconds
EXP 1: [44/64] calculationTime 0.24618 seconds
EXP 1: [52/64] calculationTime 0.246176 seconds
EXP 1: [32/64] calculationTime 0.246194 seconds
EXP 1: [10/64] calculationTime 0.246167 seconds
EXP 1: [38/64] calculationTime 0.246171 seconds
EXP 1: [48/64] calculationTime 0.246193 seconds
EXP 1: [53/64] calculationTime 0.246183 seconds
EXP 1: [31/64] calculationTime 0.246187 seconds
EXP 1: [15/64] calculationTime 0.246181 seconds
EXP 1: [20/64] calculationTime 0.246166 seconds
EXP 1: [58/64] calculationTime 0.246191 seconds
EXP 1: writeTime 0.000758 seconds
EXP 2: using seed 69c18c03
EXP 1: [23/64] calculationTime 0.246172 seconds
EXP 1: [57/64] calculationTime 0.246197 seconds
EXP 1: [33/64] calculationTime 0.246173 seconds
