[2/32] Running on node112
[4/32] Running on node112
[5/32] Running on node112
[6/32] Running on node112
[7/32] Running on node112
[8/32] Running on node112
DESC: dir=/var/scratch/dbuurman/kmeans/size_26/clusters_4/dimension_4/seed_971 numMeans=4 convergenceDelta=0.0001 thresholdMultiplier=0
[1/32] Running on node112
[3/32] Running on node112
[20/32] Running on node114
[21/32] Running on node114
[9/32] Running on node113
[23/32] Running on node114
[17/32] Running on node114
[18/32] Running on node114
[19/32] Running on node114
[12/32] Running on node113
[22/32] Running on node114
[24/32] Running on node114
[14/32] Running on node113
[10/32] Running on node113
[11/32] Running on node113
[13/32] Running on node113
[15/32] Running on node113
[16/32] Running on node113
[31/32] Running on node115
[27/32] Running on node115
[28/32] Running on node115
[30/32] Running on node115
[29/32] Running on node115
[32/32] Running on node115
[25/32] Running on node115
[26/32] Running on node115

Reading file: /var/scratch/dbuurman/kmeans/size_26/clusters_4/dimension_4/seed_971/data.txt
EXP: readTime 46.6423 seconds
Detected 67108864 data points of dimension 4.


EXP 1: using seed ace518ae
Stopping iterations due to convergence delta.
EXP 1: [1/32] calculationTime 1.63362 seconds
EXP 1: iterations 19
EXP 1: [4/32] calculationTime 1.6336 seconds
EXP 1: [5/32] calculationTime 1.6336 seconds
EXP 1: [6/32] calculationTime 1.6336 seconds
EXP 1: [7/32] calculationTime 1.6336 seconds
EXP 1: [8/32] calculationTime 1.6336 seconds
EXP 1: [3/32] calculationTime 1.6336 seconds
EXP 1: [2/32] calculationTime 1.6336 seconds
EXP 1: [9/32] calculationTime 1.6336 seconds
EXP 1: [11/32] calculationTime 1.63359 seconds
EXP 1: [12/32] calculationTime 1.63359 seconds
EXP 1: [20/32] calculationTime 1.63359 seconds
EXP 1: [13/32] calculationTime 1.63359 seconds
EXP 1: [19/32] calculationTime 1.63359 seconds
EXP 1: [29/32] calculationTime 1.63359 seconds
EXP 1: [15/32] calculationTime 1.63358 seconds
EXP 1: [21/32] calculationTime 1.63359 seconds
EXP 1: [26/32] calculationTime 1.63359 seconds
EXP 1: [16/32] calculationTime 1.63359 seconds
EXP 1: [22/32] calculationTime 1.63359 seconds
EXP 1: [32/32] calculationTime 1.63358 seconds
EXP 1: [14/32] calculationTime 1.63359 seconds
EXP 1: [24/32] calculationTime 1.63359 seconds
EXP 1: [25/32] calculationTime 1.6336 seconds
EXP 1: [10/32] calculationTime 1.6336 seconds
EXP 1: [23/32] calculationTime 1.63358 seconds
EXP 1: [31/32] calculationTime 1.63358 seconds
EXP 1: [17/32] calculationTime 1.63359 seconds
EXP 1: [27/32] calculationTime 1.63359 seconds
EXP 1: [18/32] calculationTime 1.6336 seconds
EXP 1: [30/32] calculationTime 1.63359 seconds
EXP 1: [28/32] calculationTime 1.63358 seconds
EXP 1: writeTime 0.000959 seconds
EXP 2: using seed a1f80047
EXP 2: [7/32] calculationTime 3.09306 seconds
EXP 2: [8/32] calculationTime 3.09306 seconds
EXP 2: [3/32] calculationTime 3.09306 seconds
EXP 2: [2/32] calculationTime 3.09306 seconds
EXP 2: [4/32] calculationTime 3.09306 seconds
EXP 2: [5/32] calculationTime 3.09306 seconds
EXP 2: [6/32] calculationTime 3.09306 seconds
Stopping iterations due to convergence delta.
EXP 2: [1/32] calculationTime 3.09308 seconds
EXP 2: iterations 36
EXP 2: [9/32] calculationTime 3.09306 seconds
EXP 2: [11/32] calculationTime 3.09306 seconds
EXP 2: [22/32] calculationTime 3.09306 seconds
EXP 2: [12/32] calculationTime 3.09306 seconds
EXP 2: [20/32] calculationTime 3.09306 seconds
EXP 2: [28/32] calculationTime 3.09306 seconds
EXP 2: [13/32] calculationTime 3.09306 seconds
EXP 2: [19/32] calculationTime 3.09306 seconds
EXP 2: [26/32] calculationTime 3.09306 seconds
EXP 2: [10/32] calculationTime 3.09306 seconds
EXP 2: [21/32] calculationTime 3.09306 seconds
EXP 2: [32/32] calculationTime 3.09306 seconds
EXP 2: [16/32] calculationTime 3.09306 seconds
EXP 2: [18/32] calculationTime 3.09306 seconds
EXP 2: [25/32] calculationTime 3.09306 seconds
EXP 2: [14/32] calculationTime 3.09306 seconds
EXP 2: [24/32] calculationTime 3.09306 seconds
EXP 2: [31/32] calculationTime 3.09306 seconds
EXP 2: [15/32] calculationTime 3.09306 seconds
EXP 2: [23/32] calculationTime 3.09306 seconds
EXP 2: [27/32] calculationTime 3.09306 seconds
EXP 2: [17/32] calculationTime 3.09306 seconds
EXP 2: [30/32] calculationTime 3.09306 seconds
EXP 2: writeTime 0.000855001 seconds
EXP 2: [29/32] calculationTime 3.09306 seconds
EXP 3: using seed 66eba90
EXP 3: [6/32] calculationTime 1.95422 seconds
EXP 3: [7/32] calculationTime 1.9542 seconds
EXP 3: [8/32] calculationTime 1.95422 seconds
EXP 3: [3/32] calculationTime 1.95421 seconds
EXP 3: [2/32] calculationTime 1.95422 seconds
EXP 3: [4/32] calculationTime 1.95422 seconds
EXP 3: [5/32] calculationTime 1.95421 seconds
Stopping iterations due to convergence delta.
EXP 3: [1/32] calculationTime 1.95423 seconds
EXP 3: iterations 22
EXP 3: [9/32] calculationTime 1.95421 seconds
EXP 3: [17/32] calculationTime 1.95421 seconds
EXP 3: [32/32] calculationTime 1.95422 seconds
EXP 3: [11/32] calculationTime 1.95421 seconds
EXP 3: [18/32] calculationTime 1.95422 seconds
EXP 3: [25/32] calculationTime 1.95421 seconds
EXP 3: [12/32] calculationTime 1.95422 seconds
EXP 3: [24/32] calculationTime 1.95422 seconds
EXP 3: [31/32] calculationTime 1.95421 seconds
EXP 3: [15/32] calculationTime 1.95421 seconds
EXP 3: [23/32] calculationTime 1.9542 seconds
EXP 3: [27/32] calculationTime 1.95421 seconds
EXP 3: [10/32] calculationTime 1.95422 seconds
EXP 3: [21/32] calculationTime 1.95421 seconds
EXP 3: [30/32] calculationTime 1.95422 seconds
EXP 3: [16/32] calculationTime 1.95422 seconds
EXP 3: [22/32] calculationTime 1.95422 seconds
EXP 3: [29/32] calculationTime 1.95421 seconds
EXP 3: [14/32] calculationTime 1.95422 seconds
EXP 3: [20/32] calculationTime 1.95422 seconds
EXP 3: [28/32] calculationTime 1.95422 seconds
EXP 3: [13/32] calculationTime 1.95421 seconds
EXP 3: [19/32] calculationTime 1.95421 seconds
EXP 3: [26/32] calculationTime 1.95422 seconds
EXP 3: writeTime 0.000917001 seconds
EXP 4: using seed 562d06da
EXP 4: [4/32] calculationTime 1.74607 seconds
Stopping iterations due to convergence delta.
EXP 4: [1/32] calculationTime 1.74609 seconds
EXP 4: iterations 19
EXP 4: [5/32] calculationTime 1.74607 seconds
EXP 4: [6/32] calculationTime 1.74607 seconds
EXP 4: [7/32] calculationTime 1.74607 seconds
EXP 4: [8/32] calculationTime 1.74607 seconds
EXP 4: [3/32] calculationTime 1.74607 seconds
EXP 4: [2/32] calculationTime 1.74607 seconds
EXP 4: [15/32] calculationTime 1.74607 seconds
EXP 4: [10/32] calculationTime 1.74607 seconds
