[4/64] Running on node112
[2/64] Running on node112
[3/64] Running on node112
[5/64] Running on node112
[6/64] Running on node112
[33/64] Running on node116
DESC: dir=/var/scratch/dbuurman/kmeans/size_25/clusters_4/dimension_4/seed_971 numMeans=4 convergenceDelta=0.0001 thresholdMultiplier=0
[1/64] Running on node112
[7/64] Running on node112
[35/64] Running on node116
[8/64] Running on node112
[37/64] Running on node116
[40/64] Running on node116
[34/64] Running on node116
[9/64] Running on node113
[19/64] Running on node114
[38/64] Running on node116
[13/64] Running on node113
[17/64] Running on node114
[39/64] Running on node116
[36/64] Running on node116
[18/64] Running on node114
[11/64] Running on node113
[10/64] Running on node113
[20/64] Running on node114
[21/64] Running on node114
[12/64] Running on node113
[14/64] Running on node113
[23/64] Running on node114
[24/64] Running on node114
[27/64] Running on node115
[15/64] Running on node113
[22/64] Running on node114
[16/64] Running on node113
[26/64] Running on node115
[28/64] Running on node115
[32/64] Running on node115
[42/64] Running on node117
[25/64] Running on node115
[49/64] Running on node118
[29/64] Running on node115
[30/64] Running on node115
[50/64] Running on node118
[44/64] Running on node117
[31/64] Running on node115
[53/64] Running on node118
[57/64] Running on node119
[43/64] Running on node117
[52/64] Running on node118
[46/64] Running on node117
[51/64] Running on node118
[59/64] Running on node119
[47/64] Running on node117
[54/64] Running on node118
[61/64] Running on node119
[48/64] Running on node117
[56/64] Running on node118
[62/64] Running on node119
[41/64] Running on node117
[55/64] Running on node118
[63/64] Running on node119
[45/64] Running on node117
[58/64] Running on node119
[64/64] Running on node119
[60/64] Running on node119

Reading file: /var/scratch/dbuurman/kmeans/size_25/clusters_4/dimension_4/seed_971/data.txt
EXP: readTime 24.8488 seconds
Detected 33554432 data points of dimension 4.


EXP 1: using seed 2ec0206d
Stopping iterations due to convergence delta.
EXP 1: [1/64] calculationTime 0.27636 seconds
EXP 1: iterations 9
EXP 1: [3/64] calculationTime 0.276335 seconds
EXP 1: [5/64] calculationTime 0.276338 seconds
EXP 1: [8/64] calculationTime 0.276364 seconds
EXP 1: [7/64] calculationTime 0.276341 seconds
EXP 1: [6/64] calculationTime 0.276358 seconds
EXP 1: [4/64] calculationTime 0.276362 seconds
EXP 1: [2/64] calculationTime 0.276359 seconds
EXP 1: [45/64] calculationTime 0.276346 seconds
EXP 1: [10/64] calculationTime 0.276367 seconds
EXP 1: [62/64] calculationTime 0.276378 seconds
EXP 1: [18/64] calculationTime 0.276369 seconds
EXP 1: [48/64] calculationTime 0.276373 seconds
EXP 1: [35/64] calculationTime 0.276334 seconds
EXP 1: [32/64] calculationTime 0.276381 seconds
EXP 1: [53/64] calculationTime 0.276349 seconds
EXP 1: [9/64] calculationTime 0.276341 seconds
EXP 1: [58/64] calculationTime 0.276379 seconds
EXP 1: [34/64] calculationTime 0.276358 seconds
EXP 1: [27/64] calculationTime 0.276355 seconds
EXP 1: [50/64] calculationTime 0.27637 seconds
EXP 1: [12/64] calculationTime 0.27637 seconds
EXP 1: [60/64] calculationTime 0.276378 seconds
EXP 1: [20/64] calculationTime 0.276373 seconds
EXP 1: [44/64] calculationTime 0.27637 seconds
EXP 1: writeTime 0.000806 seconds
EXP 2: using seed 8403c962
EXP 1: [24/64] calculationTime 0.276374 seconds
EXP 1: [42/64] calculationTime 0.276368 seconds
EXP 1: [38/64] calculationTime 0.276359 seconds
EXP 1: [26/64] calculationTime 0.276379 seconds
EXP 1: [51/64] calculationTime 0.276346 seconds
EXP 1: [14/64] calculationTime 0.276367 seconds
EXP 1: [63/64] calculationTime 0.276358 seconds
EXP 1: [21/64] calculationTime 0.276349 seconds
EXP 1: [41/64] calculationTime 0.276339 seconds
EXP 1: [37/64] calculationTime 0.276337 seconds
EXP 1: [25/64] calculationTime 0.276354 seconds
EXP 1: [56/64] calculationTime 0.276373 seconds
EXP 1: [15/64] calculationTime 0.27635 seconds
EXP 1: [57/64] calculationTime 0.276354 seconds
EXP 1: [23/64] calculationTime 0.276351 seconds
EXP 1: [43/64] calculationTime 0.276344 seconds
EXP 1: [36/64] calculationTime 0.276362 seconds
EXP 1: [29/64] calculationTime 0.276356 seconds
EXP 1: [54/64] calculationTime 0.276368 seconds
EXP 1: [16/64] calculationTime 0.276373 seconds
