[2/64] Running on node101
[4/64] Running on node101
[5/64] Running on node101
DESC: dir=/var/scratch/dbuurman/kmeans/size_24/clusters_4/dimension_4/seed_971 numMeans=4 convergenceDelta=0.0001 thresholdMultiplier=0
[6/64] Running on node101
[7/64] Running on node101
[8/64] Running on node101
[3/64] Running on node101
[1/64] Running on node101
[17/64] Running on node103
[19/64] Running on node103
[18/64] Running on node103
[21/64] Running on node103
[23/64] Running on node103
[36/64] Running on node105
[20/64] Running on node103
[38/64] Running on node105
[22/64] Running on node103
[15/64] Running on node102
[24/64] Running on node103
[39/64] Running on node105
[9/64] Running on node102
[33/64] Running on node105
[34/64] Running on node105
[10/64] Running on node102
[11/64] Running on node102
[35/64] Running on node105
[12/64] Running on node102
[37/64] Running on node105
[43/64] Running on node106
[13/64] Running on node102
[49/64] Running on node107
[16/64] Running on node102
[27/64] Running on node104
[40/64] Running on node105
[41/64] Running on node106
[14/64] Running on node102
[29/64] Running on node104
[51/64] Running on node107
[42/64] Running on node106
[28/64] Running on node104
[53/64] Running on node107
[44/64] Running on node106
[30/64] Running on node104
[55/64] Running on node107
[46/64] Running on node106
[50/64] Running on node107
[48/64] Running on node106
[25/64] Running on node104
[52/64] Running on node107
[47/64] Running on node106
[26/64] Running on node104
[54/64] Running on node107
[45/64] Running on node106
[57/64] Running on node108
[32/64] Running on node104
[56/64] Running on node107
[59/64] Running on node108
[31/64] Running on node104
[61/64] Running on node108
[58/64] Running on node108
[60/64] Running on node108
[62/64] Running on node108
[63/64] Running on node108
[64/64] Running on node108

Reading file: /var/scratch/dbuurman/kmeans/size_24/clusters_4/dimension_4/seed_971/data.txt
EXP: readTime 12.5013 seconds
Detected 16777216 data points of dimension 4.


EXP 1: using seed a115c19
Stopping iterations due to convergence delta.
EXP 1: [1/64] calculationTime 0.287208 seconds
EXP 1: iterations 33
EXP 1: [5/64] calculationTime 0.287183 seconds
EXP 1: [8/64] calculationTime 0.287169 seconds
EXP 1: [2/64] calculationTime 0.287178 seconds
EXP 1: [4/64] calculationTime 0.28718 seconds
EXP 1: [3/64] calculationTime 0.287172 seconds
EXP 1: [6/64] calculationTime 0.287175 seconds
EXP 1: [7/64] calculationTime 0.28717 seconds
EXP 1: [48/64] calculationTime 0.287162 seconds
EXP 1: [24/64] calculationTime 0.287189 seconds
EXP 1: [46/64] calculationTime 0.287174 seconds
EXP 1: [64/64] calculationTime 0.287176 seconds
EXP 1: [30/64] calculationTime 0.287183 seconds
EXP 1: [55/64] calculationTime 0.287186 seconds
EXP 1: [35/64] calculationTime 0.287172 seconds
EXP 1: [19/64] calculationTime 0.287189 seconds
EXP 1: [45/64] calculationTime 0.28718 seconds
EXP 1: [61/64] calculationTime 0.287194 seconds
EXP 1: [14/64] calculationTime 0.287174 seconds
EXP 1: [25/64] calculationTime 0.287184 seconds
EXP 1: [49/64] calculationTime 0.287191 seconds
EXP 1: [36/64] calculationTime 0.287179 seconds
EXP 1: [17/64] calculationTime 0.28719 seconds
EXP 1: [43/64] calculationTime 0.28717 seconds
EXP 1: [57/64] calculationTime 0.28719 seconds
EXP 1: [15/64] calculationTime 0.287166 seconds
EXP 1: writeTime 0.00082 seconds
EXP 2: using seed 7fcb6017
EXP 1: [38/64] calculationTime 0.287174 seconds
EXP 1: [23/64] calculationTime 0.287188 seconds
EXP 1: [41/64] calculationTime 0.287176 seconds
EXP 1: [58/64] calculationTime 0.287181 seconds
EXP 1: [9/64] calculationTime 0.287176 seconds
EXP 1: [29/64] calculationTime 0.287187 seconds
EXP 1: [50/64] calculationTime 0.28719 seconds
EXP 1: [27/64] calculationTime 0.287178 seconds
EXP 1: [51/64] calculationTime 0.287186 seconds
EXP 1: [37/64] calculationTime 0.287183 seconds
EXP 1: [18/64] calculationTime 0.28719 seconds
EXP 1: [42/64] calculationTime 0.287167 seconds
EXP 1: [59/64] calculationTime 0.287183 seconds
EXP 1: [10/64] calculationTime 0.287168 seconds
EXP 1: [28/64] calculationTime 0.287185 seconds
EXP 1: [52/64] calculationTime 0.287188 seconds
EXP 1: [40/64] calculationTime 0.287169 seconds
EXP 1: [20/64] calculationTime 0.28719 seconds
EXP 1: [47/64] calculationTime 0.287165 seconds
EXP 1: [60/64] calculationTime 0.287187 seconds
EXP 1: [11/64] calculationTime 0.28717 seconds
EXP 1: [32/64] calculationTime 0.287173 seconds
EXP 1: [53/64] calculationTime 0.287191 seconds
EXP 1: [39/64] calculationTime 0.28717 seconds
EXP 1: [21/64] calculationTime 0.287191 seconds
EXP 1: [44/64] calculationTime 0.287176 seconds
EXP 1: [62/64] calculationTime 0.287184 seconds
EXP 1: [12/64] calculationTime 0.287177 seconds
EXP 1: [26/64] calculationTime 0.287177 seconds
EXP 1: [54/64] calculationTime 0.287188 seconds
EXP 1: [33/64] calculationTime 0.287182 seconds
EXP 1: [22/64] calculationTime 0.28719 seconds
EXP 1: [63/64] calculationTime 0.287182 seconds
EXP 1: [16/64] calculationTime 0.287165 seconds
EXP 1: [31/64] calculationTime 0.287176 seconds
EXP 1: [56/64] calculationTime 0.287186 seconds
EXP 1: [34/64] calculationTime 0.287177 seconds
EXP 1: [13/64] calculationTime 0.28718 seconds
EXP 2: [4/64] calculationTime 0.102413 seconds
EXP 2: [3/64] calculationTime 0.102412 seconds
EXP 2: [6/64] calculationTime 0.102414 seconds
EXP 2: [7/64] calculationTime 0.102413 seconds
Stopping iterations due to convergence delta.
EXP 2: [1/64] calculationTime 0.102429 seconds
EXP 2: iterations 9
EXP 2: [5/64] calculationTime 0.10242 seconds
EXP 2: [8/64] calculationTime 0.102414 seconds
EXP 2: [2/64] calculationTime 0.102411 seconds
EXP 2: [60/64] calculationTime 0.102417 seconds
EXP 2: [56/64] calculationTime 0.102416 seconds
EXP 2: [54/64] calculationTime 0.102418 seconds
EXP 2: [24/64] calculationTime 0.102417 seconds
EXP 2: [43/64] calculationTime 0.102416 seconds
