[3/64] Running on node112
DESC: dir=/var/scratch/dbuurman/kmeans/size_27/clusters_4/dimension_4/seed_971 numMeans=4 convergenceDelta=0.0001 thresholdMultiplier=0
[1/64] Running on node112
[7/64] Running on node112
[5/64] Running on node112
[2/64] Running on node112
[6/64] Running on node112
[4/64] Running on node112
[8/64] Running on node112
[23/64] Running on node114
[22/64] Running on node114
[19/64] Running on node114
[33/64] Running on node116
[20/64] Running on node114
[9/64] Running on node113
[11/64] Running on node113
[34/64] Running on node116
[13/64] Running on node113
[14/64] Running on node113
[21/64] Running on node114
[18/64] Running on node114
[39/64] Running on node116
[10/64] Running on node113
[24/64] Running on node114
[49/64] Running on node118
[12/64] Running on node113
[17/64] Running on node114
[51/64] Running on node118
[16/64] Running on node113
[35/64] Running on node116
[15/64] Running on node113
[52/64] Running on node118
[53/64] Running on node118
[36/64] Running on node116
[25/64] Running on node115
[43/64] Running on node117
[50/64] Running on node118
[38/64] Running on node116
[37/64] Running on node116
[27/64] Running on node115
[45/64] Running on node117
[54/64] Running on node118
[26/64] Running on node115
[41/64] Running on node117
[55/64] Running on node118
[40/64] Running on node116
[29/64] Running on node115
[42/64] Running on node117
[56/64] Running on node118
[57/64] Running on node119
[31/64] Running on node115
[44/64] Running on node117
[61/64] Running on node119
[32/64] Running on node115
[46/64] Running on node117
[28/64] Running on node115
[48/64] Running on node117
[30/64] Running on node115
[47/64] Running on node117
[59/64] Running on node119
[58/64] Running on node119
[60/64] Running on node119
[62/64] Running on node119
[63/64] Running on node119
[64/64] Running on node119

Reading file: /var/scratch/dbuurman/kmeans/size_27/clusters_4/dimension_4/seed_971/data.txt
EXP: readTime 99.1118 seconds
Detected 134217728 data points of dimension 4.


EXP 1: using seed e47f1f12
Stopping iterations due to convergence delta.
EXP 1: [1/64] calculationTime 2.85133 seconds
EXP 1: iterations 44
EXP 1: [3/64] calculationTime 2.8513 seconds
EXP 1: [5/64] calculationTime 2.8513 seconds
EXP 1: [6/64] calculationTime 2.85129 seconds
EXP 1: [7/64] calculationTime 2.8513 seconds
EXP 1: [2/64] calculationTime 2.85129 seconds
EXP 1: [8/64] calculationTime 2.85129 seconds
EXP 1: [4/64] calculationTime 2.85129 seconds
EXP 1: [33/64] calculationTime 2.8513 seconds
EXP 1: [20/64] calculationTime 2.85129 seconds
EXP 1: [27/64] calculationTime 2.8513 seconds
EXP 1: [56/64] calculationTime 2.85129 seconds
EXP 1: [57/64] calculationTime 2.8513 seconds
EXP 1: [39/64] calculationTime 2.8513 seconds
EXP 1: [23/64] calculationTime 2.8513 seconds
EXP 1: [25/64] calculationTime 2.8513 seconds
EXP 1: [44/64] calculationTime 2.85129 seconds
EXP 1: [53/64] calculationTime 2.8513 seconds
EXP 1: [60/64] calculationTime 2.85129 seconds
EXP 1: [35/64] calculationTime 2.85131 seconds
EXP 1: [14/64] calculationTime 2.85129 seconds
EXP 1: [18/64] calculationTime 2.85129 seconds
EXP 1: [32/64] calculationTime 2.85129 seconds
EXP 1: [48/64] calculationTime 2.85129 seconds
EXP 1: [49/64] calculationTime 2.8513 seconds
EXP 1: [62/64] calculationTime 2.85129 seconds
EXP 1: [38/64] calculationTime 2.85129 seconds
EXP 1: [9/64] calculationTime 2.8513 seconds
EXP 1: [17/64] calculationTime 2.8513 seconds
EXP 1: [26/64] calculationTime 2.85129 seconds
EXP 1: [46/64] calculationTime 2.85129 seconds
EXP 1: [51/64] calculationTime 2.8513 seconds
EXP 1: [63/64] calculationTime 2.8513 seconds
EXP 1: [36/64] calculationTime 2.85129 seconds
