[3/64] Running on node101
[2/64] Running on node101
[5/64] Running on node101
[6/64] Running on node101
DESC: dir=/var/scratch/dbuurman/kmeans/size_26/clusters_4/dimension_4/seed_971 numMeans=4 convergenceDelta=0.0001 thresholdMultiplier=0
[1/64] Running on node101
[4/64] Running on node101
[8/64] Running on node101
[7/64] Running on node101
[18/64] Running on node103
[35/64] Running on node105
[22/64] Running on node103
[34/64] Running on node105
[11/64] Running on node102
[20/64] Running on node103
[40/64] Running on node105
[17/64] Running on node103
[37/64] Running on node105
[9/64] Running on node102
[12/64] Running on node102
[23/64] Running on node103
[36/64] Running on node105
[51/64] Running on node107
[21/64] Running on node103
[33/64] Running on node105
[49/64] Running on node107
[14/64] Running on node102
[15/64] Running on node102
[24/64] Running on node103
[38/64] Running on node105
[54/64] Running on node107
[19/64] Running on node103
[39/64] Running on node105
[43/64] Running on node106
[52/64] Running on node107
[10/64] Running on node102
[25/64] Running on node104
[45/64] Running on node106
[55/64] Running on node107
[16/64] Running on node102
[27/64] Running on node104
[44/64] Running on node106
[50/64] Running on node107
[13/64] Running on node102
[29/64] Running on node104
[46/64] Running on node106
[53/64] Running on node107
[30/64] Running on node104
[47/64] Running on node106
[56/64] Running on node107
[31/64] Running on node104
[41/64] Running on node106
[26/64] Running on node104
[42/64] Running on node106
[28/64] Running on node104
[48/64] Running on node106
[32/64] Running on node104
[57/64] Running on node108
[59/64] Running on node108
[61/64] Running on node108
[64/64] Running on node108
[58/64] Running on node108
[62/64] Running on node108
[63/64] Running on node108
[60/64] Running on node108

Reading file: /var/scratch/dbuurman/kmeans/size_26/clusters_4/dimension_4/seed_971/data.txt
EXP: readTime 46.0012 seconds
Detected 67108864 data points of dimension 4.


EXP 1: using seed 6bcaae14
Stopping iterations due to convergence delta.
EXP 1: [1/64] calculationTime 0.564951 seconds
EXP 1: iterations 13
EXP 1: [6/64] calculationTime 0.564944 seconds
EXP 1: [3/64] calculationTime 0.564934 seconds
EXP 1: [7/64] calculationTime 0.564945 seconds
EXP 1: [2/64] calculationTime 0.564933 seconds
EXP 1: [5/64] calculationTime 0.56493 seconds
EXP 1: [8/64] calculationTime 0.564938 seconds
EXP 1: [4/64] calculationTime 0.564942 seconds
EXP 1: [43/64] calculationTime 0.564944 seconds
EXP 1: [54/64] calculationTime 0.564948 seconds
EXP 1: [17/64] calculationTime 0.564923 seconds
EXP 1: [32/64] calculationTime 0.564946 seconds
EXP 1: [40/64] calculationTime 0.564947 seconds
EXP 1: [44/64] calculationTime 0.564949 seconds
EXP 1: [50/64] calculationTime 0.564943 seconds
EXP 1: [63/64] calculationTime 0.564966 seconds
EXP 1: [11/64] calculationTime 0.564937 seconds
EXP 1: [21/64] calculationTime 0.564925 seconds
EXP 1: [31/64] calculationTime 0.564957 seconds
EXP 1: [33/64] calculationTime 0.564937 seconds
EXP 1: [46/64] calculationTime 0.564951 seconds
EXP 1: [49/64] calculationTime 0.564933 seconds
EXP 1: [59/64] calculationTime 0.564954 seconds
EXP 1: [15/64] calculationTime 0.56494 seconds
EXP 1: [19/64] calculationTime 0.56493 seconds
EXP 1: [25/64] calculationTime 0.56494 seconds
EXP 1: [38/64] calculationTime 0.564954 seconds
EXP 1: [42/64] calculationTime 0.564943 seconds
EXP 1: [52/64] calculationTime 0.564948 seconds
EXP 1: [58/64] calculationTime 0.564958 seconds
EXP 1: [9/64] calculationTime 0.564931 seconds
EXP 1: [34/64] calculationTime 0.564944 seconds
EXP 1: [48/64] calculationTime 0.564945 seconds
EXP 1: [53/64] calculationTime 0.564934 seconds
