[3/64] Running on node101
[4/64] Running on node101
[5/64] Running on node101
[7/64] Running on node101
[8/64] Running on node101
DESC: dir=/var/scratch/dbuurman/kmeans/size_24/clusters_4/dimension_4/seed_971 numMeans=4 convergenceDelta=0.0001 thresholdMultiplier=0
[1/64] Running on node101
[2/64] Running on node101
[6/64] Running on node101
[34/64] Running on node105
[39/64] Running on node105
[33/64] Running on node105
[23/64] Running on node103
[36/64] Running on node105
[17/64] Running on node103
[37/64] Running on node105
[19/64] Running on node103
[21/64] Running on node103
[9/64] Running on node102
[40/64] Running on node105
[35/64] Running on node105
[18/64] Running on node103
[50/64] Running on node107
[10/64] Running on node102
[38/64] Running on node105
[22/64] Running on node103
[11/64] Running on node102
[24/64] Running on node103
[26/64] Running on node104
[51/64] Running on node107
[13/64] Running on node102
[20/64] Running on node103
[28/64] Running on node104
[53/64] Running on node107
[15/64] Running on node102
[29/64] Running on node104
[52/64] Running on node107
[16/64] Running on node102
[27/64] Running on node104
[43/64] Running on node106
[54/64] Running on node107
[14/64] Running on node102
[32/64] Running on node104
[44/64] Running on node106
[55/64] Running on node107
[12/64] Running on node102
[25/64] Running on node104
[45/64] Running on node106
[56/64] Running on node107
[30/64] Running on node104
[46/64] Running on node106
[49/64] Running on node107
[31/64] Running on node104
[47/64] Running on node106
[41/64] Running on node106
[42/64] Running on node106
[48/64] Running on node106
[57/64] Running on node108
[58/64] Running on node108
[59/64] Running on node108
[60/64] Running on node108
[62/64] Running on node108
[63/64] Running on node108
[61/64] Running on node108
[64/64] Running on node108

Reading file: /var/scratch/dbuurman/kmeans/size_24/clusters_4/dimension_4/seed_971/data.txt
EXP: readTime 11.4861 seconds
Detected 16777216 data points of dimension 4.


EXP 1: using seed 53580e66
Stopping iterations due to convergence delta.
EXP 1: [1/64] calculationTime 0.48325 seconds
EXP 1: iterations 48
EXP 1: [7/64] calculationTime 0.483221 seconds
EXP 1: [3/64] calculationTime 0.483219 seconds
EXP 1: [4/64] calculationTime 0.483186 seconds
EXP 1: [2/64] calculationTime 0.483184 seconds
EXP 1: [5/64] calculationTime 0.483254 seconds
EXP 1: [8/64] calculationTime 0.483188 seconds
EXP 1: [6/64] calculationTime 0.483181 seconds
EXP 1: [63/64] calculationTime 0.483204 seconds
EXP 1: [31/64] calculationTime 0.483195 seconds
EXP 1: [60/64] calculationTime 0.483174 seconds
EXP 1: [9/64] calculationTime 0.483217 seconds
EXP 1: [35/64] calculationTime 0.483228 seconds
EXP 1: [32/64] calculationTime 0.48318 seconds
EXP 1: [48/64] calculationTime 0.483193 seconds
EXP 1: [62/64] calculationTime 0.483182 seconds
EXP 1: [49/64] calculationTime 0.483225 seconds
EXP 1: [10/64] calculationTime 0.483178 seconds
EXP 1: [34/64] calculationTime 0.483196 seconds
EXP 1: [19/64] calculationTime 0.483201 seconds
EXP 1: [29/64] calculationTime 0.48328 seconds
EXP 1: [47/64] calculationTime 0.483227 seconds
EXP 1: [61/64] calculationTime 0.483285 seconds
EXP 1: [56/64] calculationTime 0.483188 seconds
EXP 1: [14/64] calculationTime 0.483183 seconds
EXP 1: [37/64] calculationTime 0.483259 seconds
EXP 1: [18/64] calculationTime 0.483175 seconds
EXP 1: [26/64] calculationTime 0.48317 seconds
EXP 1: [41/64] calculationTime 0.483223 seconds
EXP 1: [64/64] calculationTime 0.483186 seconds
EXP 1: [50/64] calculationTime 0.483182 seconds
EXP 1: [11/64] calculationTime 0.483215 seconds
EXP 1: [38/64] calculationTime 0.483193 seconds
EXP 1: [22/64] calculationTime 0.48318 seconds
EXP 1: [28/64] calculationTime 0.483167 seconds
EXP 1: [43/64] calculationTime 0.483221 seconds
EXP 1: [57/64] calculationTime 0.483204 seconds
EXP 1: [53/64] calculationTime 0.483263 seconds
EXP 1: [16/64] calculationTime 0.483187 seconds
EXP 1: [39/64] calculationTime 0.483231 seconds
EXP 1: [20/64] calculationTime 0.483177 seconds
EXP 1: [25/64] calculationTime 0.483198 seconds
EXP 1: [44/64] calculationTime 0.483186 seconds
EXP 1: [58/64] calculationTime 0.483177 seconds
EXP 1: [51/64] calculationTime 0.483219 seconds
EXP 1: [13/64] calculationTime 0.483271 seconds
EXP 1: [40/64] calculationTime 0.483196 seconds
EXP 1: [23/64] calculationTime 0.483203 seconds
EXP 1: [30/64] calculationTime 0.483175 seconds
EXP 1: [45/64] calculationTime 0.483275 seconds
EXP 1: [59/64] calculationTime 0.483202 seconds
EXP 1: [52/64] calculationTime 0.483184 seconds
EXP 1: [15/64] calculationTime 0.483221 seconds
EXP 1: writeTime 0.001002 seconds
EXP 1: [12/64] calculationTime 0.483176 seconds
EXP 1: [33/64] calculationTime 0.483232 seconds
EXP 1: [21/64] calculationTime 0.483258 seconds
EXP 1: [27/64] calculationTime 0.483194 seconds
EXP 1: [46/64] calculationTime 0.483189 seconds
EXP 1: [54/64] calculationTime 0.483187 seconds
EXP 2: using seed 204d2a3e
EXP 1: [36/64] calculationTime 0.483195 seconds
EXP 1: [17/64] calculationTime 0.483201 seconds
EXP 1: [42/64] calculationTime 0.483185 seconds
EXP 1: [55/64] calculationTime 0.483222 seconds
EXP 1: [24/64] calculationTime 0.483183 seconds
EXP 2: [6/64] calculationTime 0.141054 seconds
EXP 2: [5/64] calculationTime 0.141053 seconds
EXP 2: [8/64] calculationTime 0.141054 seconds
EXP 2: [7/64] calculationTime 0.141054 seconds
EXP 2: [3/64] calculationTime 0.141055 seconds
EXP 2: [4/64] calculationTime 0.141054 seconds
EXP 2: [2/64] calculationTime 0.141052 seconds
Stopping iterations due to convergence delta.
EXP 2: [1/64] calculationTime 0.141074 seconds
EXP 2: iterations 10
EXP 2: [21/64] calculationTime 0.141054 seconds
EXP 2: [17/64] calculationTime 0.141053 seconds
EXP 2: [63/64] calculationTime 0.141055 seconds
